iter	RMSE
0	27.72780469
1	27.13648609
2	26.51742924
3	25.99424049
4	25.45495729
5	24.94540348
6	24.45312743
7	24.03077858
8	23.60460792
9	23.2187067
10	22.86550351
11	22.50635596
12	22.18866905
13	21.84694698
14	21.55780215
15	21.23340599
16	20.96564123
17	20.69989625
18	20.44862071
19	20.17784083
20	19.94815411
21	19.74227964
22	19.54159184
23	19.36402823
24	19.18119954
25	18.98128197
26	18.81118286
27	18.62843575
28	18.49245774
29	18.35878443
30	18.20999478
31	18.07253885
32	17.95194692
33	17.85556949
34	17.74592183
35	17.61896165
36	17.52302729
37	17.44113215
38	17.32333601
39	17.22378389
40	17.12151636
41	17.04924996
42	16.95221776
43	16.88631612
44	16.80690295
45	16.71618329
46	16.63278307
47	16.56869336
48	16.4958193
49	16.44286757
50	16.38035425
51	16.33272517
52	16.27530057
53	16.23676804
54	16.1750129
55	16.13193874
56	16.06678876
57	16.01569452
58	15.96810066
59	15.93013009
60	15.88517092
61	15.82161788
62	15.79128371
63	15.75434409
64	15.70392551
65	15.65408611
66	15.62096975
67	15.58803309
68	15.54639423
69	15.52406122
70	15.49121831
71	15.4650293
72	15.4126603
73	15.37858948
74	15.34396798
75	15.30861429
76	15.27438426
77	15.2472881
78	15.2179621
79	15.17175185
80	15.13258279
81	15.08867064
82	15.05765361
83	15.02608014
84	14.98305277
85	14.96422764
86	14.94356845
87	14.91278731
88	14.89542687
89	14.87371821
90	14.83772702
91	14.8138687
92	14.77181898
93	14.7431671
94	14.71439729
95	14.67986972
96	14.65947678
97	14.64038046
98	14.62281293
99	14.6018836
100	14.58190732
101	14.5548886
102	14.53502583
103	14.51138405
104	14.4769416
105	14.45590166
106	14.43033264
107	14.40513458
108	14.3869099
109	14.35773781
110	14.32839004
111	14.30323299
112	14.28188731
113	14.25296239
114	14.23618172
115	14.21944024
116	14.18659505
117	14.16409393
118	14.14245451
119	14.12163743
120	14.09429244
121	14.07057733
122	14.04677494
123	14.02860132
124	13.99824415
125	13.96582008
126	13.94062696
127	13.93071412
128	13.91987347
129	13.90926874
130	13.89343275
131	13.87334687
132	13.85749359
133	13.83544512
134	13.80809561
135	13.78726038
136	13.77252247
137	13.7512035
138	13.72407793
139	13.69516784
140	13.67568912
141	13.65650234
142	13.64334761
143	13.63376872
144	13.61272404
145	13.58682515
146	13.56921851
147	13.54882228
148	13.52426414
149	13.51243214
150	13.49161471
151	13.46802126
152	13.45785918
153	13.44292961
154	13.42334586
155	13.40822489
156	13.3857187
157	13.36888227
158	13.34529905
159	13.32892028
160	13.31923708
161	13.30276811
162	13.29084425
163	13.27442369
164	13.25276114
165	13.23708948
166	13.21766537
167	13.19815302
168	13.18497414
169	13.16312992
170	13.13786529
171	13.12594003
172	13.11736485
173	13.09460893
174	13.08097503
175	13.06496802
176	13.04113795
177	13.01555289
178	13.00177096
179	12.98827144
180	12.96403175
181	12.95157086
182	12.93363209
183	12.91465205
184	12.89701135
185	12.87775426
186	12.85919666
187	12.83490835
188	12.81719938
189	12.80143385
190	12.78893577
191	12.76291832
192	12.74049385
193	12.72840973
194	12.71336454
195	12.70395785
196	12.69408526
197	12.6821009
198	12.66505623
199	12.64667873
200	12.64201389
201	12.63281482
202	12.61603369
203	12.60255577
204	12.5839
205	12.56156352
206	12.55112879
207	12.54254594
208	12.53118195
209	12.51394365
210	12.50733726
211	12.4720168
212	12.45143821
213	12.43296157
214	12.41865816
215	12.41233243
216	12.38642374
217	12.37762614
218	12.35892134
219	12.35204902
220	12.32356741
221	12.30372836
222	12.28663057
223	12.2760331
224	12.26502149
225	12.24186123
226	12.23568206
227	12.21511933
228	12.20470448
229	12.18242479
230	12.17072428
231	12.14907389
232	12.12183103
233	12.1089079
234	12.10530489
235	12.0977076
236	12.07804874
237	12.06341214
238	12.05409707
239	12.04073208
240	12.03108113
241	12.02153646
242	11.98690086
243	11.96093832
244	11.94178326
245	11.9304405
246	11.92147274
247	11.90428723
248	11.88007929
249	11.86005522
250	11.84588544
251	11.82939153
252	11.80780052
253	11.79947818
254	11.77841362
255	11.74384248
256	11.73043708
257	11.71933982
258	11.71054734
259	11.7070203
260	11.68725671
261	11.68028167
262	11.66134265
263	11.65554993
264	11.64842956
265	11.6379077
266	11.61817857
267	11.61255337
268	11.58429015
269	11.57438206
270	11.5654625
271	11.55560348
272	11.55293957
273	11.53604834
274	11.5179437
275	11.50380859
276	11.49612217
277	11.48802977
278	11.48161768
279	11.46924357
280	11.45239997
281	11.43853282
282	11.43223099
283	11.42032169
284	11.40016684
285	11.39234457
286	11.37412811
287	11.36777262
288	11.36231052
289	11.34555737
290	11.33399617
291	11.31535169
292	11.30419887
293	11.29673503
294	11.28912907
295	11.28193206
296	11.27490073
297	11.24454719
298	11.22848813
299	11.21490085
