model,rmse,mae,r2,mape,max_error,residual_mean,residual_std
STACKING_ENSEMBLE,0.5582830311758076,0.37051829275732506,0.5627230046947718,inf,3.2682606174987137,0.009206459913947914,0.5582071156790288
RANDOMFOREST,0.5595064331405807,0.37057951141474893,0.5608044377396301,inf,3.267385153970187,0.011627148214301563,0.5593856077430825
XGBOOST,0.563988163467451,0.3829799469246052,0.5537402133903928,inf,3.1480915871086657,0.00931761873467321,0.5639111902706875
LIGHTGBM,0.5670515481851044,0.3817475610608125,0.5488791960581632,inf,3.2092640597127025,0.006655096947477045,0.5670124936751777
